instancia,valorOtimo,sem_tempo_total,sem_sol_nmpa,sem_sol_mmosp,sem_densidade,sem_tempo_seq,sem_gap,p1_tempo_total,p1_sol_nmpa,p1_sol_mmosp,p1_densidade,p1_tempo_seq,p1_gap,p2_tempo_total,p2_sol_nmpa,p2_sol_mmosp,p2_densidade,p2_tempo_seq,p2_gap,p3_tempo_total,p3_sol_nmpa,p3_sol_mmosp,p3_densidade,p3_tempo_seq,p3_gap
Chu_Stuckey\Random-40-40-6-1,28.2,0.001,36,36.669,0.636,0.001,27.66%,0.003,33,33.695,0.636,0.003,17.02%,0.004,33,33.683,0.636,0.003,17.02%,0.003,33,33.683,0.636,0.002,17.02%
Chu_Stuckey\Random-40-40-6-2,28.2,0.003,36,36.664,0.609,0.003,27.66%,0.004,34,34.704,0.609,0.002,20.57%,0.003,34,34.709,0.609,0.003,20.57%,0.005,34,34.709,0.609,0.004,20.57%
Chu_Stuckey\Random-40-40-6-3,28.2,0.003,31,31.694,0.582,0.003,9.93%,0.003,30,30.731,0.582,0.002,6.38%,0.004,31,31.694,0.582,0.003,9.93%,0.004,31,31.694,0.582,0.004,9.93%
Chu_Stuckey\Random-40-40-6-4,28.2,0.001,33,33.681,0.562,0.001,17.02%,0.004,33,33.691,0.562,0.003,17.02%,0.003,33,33.681,0.562,0.002,17.02%,0.011,33,33.681,0.562,0.007,17.02%
Chu_Stuckey\Random-40-40-6-5,28.2,0.001,33,33.669,0.591,0.001,17.02%,0.012,32,32.701,0.591,0.009,13.48%,0.003,32,32.677,0.591,0.003,13.48%,0.005,32,32.677,0.591,0.003,13.48%
Chu_Stuckey\Random-40-40-8-1,32.6,0.003,37,37.730,0.827,0.003,13.50%,0.003,37,37.734,0.827,0.003,13.50%,0.003,37,37.734,0.827,0.002,13.50%,0.004,37,37.734,0.827,0.002,13.50%
Chu_Stuckey\Random-40-40-8-2,32.6,0.001,37,37.737,0.785,0.001,13.50%,0.003,37,37.737,0.785,0.002,13.50%,0.003,37,37.737,0.785,0.003,13.50%,0.006,37,37.737,0.785,0.005,13.50%
Chu_Stuckey\Random-40-40-8-3,32.6,0.008,35,35.764,0.759,0.008,7.36%,0.012,35,35.715,0.759,0.003,7.36%,0.008,35,35.721,0.759,0.008,7.36%,0.004,35,35.721,0.759,0.003,7.36%
Chu_Stuckey\Random-40-40-8-4,32.6,0.004,37,37.728,0.808,0.004,13.50%,0.006,37,37.728,0.808,0.004,13.50%,0.005,37,37.728,0.808,0.004,13.50%,0.003,37,37.728,0.808,0.003,13.50%
Chu_Stuckey\Random-40-40-8-5,32.6,0.001,39,39.726,0.805,0.001,19.63%,0.003,38,38.750,0.805,0.002,16.56%,0.006,38,38.729,0.805,0.003,16.56%,0.003,38,38.729,0.805,0.002,16.56%
Chu_Stuckey\Random-50-100-10-1,47.8,0.010,50,50.856,0.856,0.010,4.60%,0.027,50,50.856,0.856,0.020,4.60%,0.035,50,50.856,0.856,0.032,4.60%,0.025,50,50.856,0.856,0.023,4.60%
Chu_Stuckey\Random-50-100-10-2,47.8,0.013,50,50.877,0.865,0.013,4.60%,0.032,50,50.885,0.865,0.025,4.60%,0.027,50,50.877,0.865,0.021,4.60%,0.035,50,50.877,0.865,0.032,4.60%
Chu_Stuckey\Random-50-100-10-3,47.8,0.012,50,50.866,0.858,0.012,4.60%,0.026,50,50.869,0.858,0.021,4.60%,0.027,50,50.866,0.858,0.025,4.60%,0.025,50,50.866,0.858,0.022,4.60%
Chu_Stuckey\Random-50-100-10-4,47.8,0.014,50,50.852,0.890,0.014,4.60%,0.030,50,50.855,0.890,0.021,4.60%,0.023,50,50.848,0.890,0.020,4.60%,0.025,50,50.848,0.890,0.022,4.60%
Chu_Stuckey\Random-50-100-10-5,47.8,0.016,50,50.852,0.863,0.016,4.60%,0.048,50,50.852,0.863,0.034,4.60%,0.025,50,50.852,0.863,0.022,4.60%,0.023,50,50.852,0.863,0.020,4.60%
Chu_Stuckey\Random-50-100-2-1,21.1,0.005,29,29.631,0.118,0.005,37.44%,0.022,25,25.673,0.118,0.018,18.48%,0.017,29,29.631,0.118,0.015,37.44%,0.014,29,29.631,0.118,0.010,37.44%
Chu_Stuckey\Random-50-100-2-2,21.1,0.004,26,26.680,0.122,0.004,23.22%,0.013,29,29.679,0.122,0.010,37.44%,0.014,26,26.709,0.122,0.012,23.22%,0.015,26,26.709,0.122,0.012,23.22%
Chu_Stuckey\Random-50-100-2-3,21.1,0.004,31,31.632,0.148,0.004,46.92%,0.012,31,31.632,0.148,0.009,46.92%,0.012,31,31.632,0.148,0.010,46.92%,0.013,31,31.632,0.148,0.009,46.92%
Chu_Stuckey\Random-50-100-2-4,21.1,0.005,30,30.718,0.128,0.005,42.18%,0.016,30,30.719,0.128,0.009,42.18%,0.013,30,30.718,0.128,0.011,42.18%,0.014,30,30.718,0.128,0.012,42.18%
Chu_Stuckey\Random-50-100-2-5,21.1,0.005,27,27.692,0.117,0.005,27.96%,0.014,27,27.694,0.117,0.010,27.96%,0.014,27,27.692,0.117,0.009,27.96%,0.014,27,27.692,0.117,0.010,27.96%
Chu_Stuckey\Random-50-100-4-1,34.6,0.007,44,44.657,0.271,0.007,27.17%,0.017,44,44.669,0.271,0.014,27.17%,0.013,44,44.657,0.271,0.010,27.17%,0.017,44,44.657,0.271,0.014,27.17%
Chu_Stuckey\Random-50-100-4-2,34.6,0.008,47,47.648,0.302,0.008,35.84%,0.016,44,44.693,0.302,0.012,27.17%,0.016,47,47.648,0.302,0.013,35.84%,0.015,47,47.648,0.302,0.012,35.84%
Chu_Stuckey\Random-50-100-4-3,34.6,0.006,42,42.695,0.301,0.006,21.39%,0.018,42,42.691,0.301,0.015,21.39%,0.015,42,42.685,0.301,0.013,21.39%,0.022,42,42.685,0.301,0.019,21.39%
Chu_Stuckey\Random-50-100-4-4,34.6,0.006,41,41.701,0.320,0.006,18.50%,0.018,43,43.699,0.320,0.015,24.28%,0.015,43,43.674,0.320,0.012,24.28%,0.018,43,43.674,0.320,0.013,24.28%
Chu_Stuckey\Random-50-100-4-5,34.6,0.007,47,47.686,0.271,0.007,35.84%,0.016,42,42.672,0.271,0.010,21.39%,0.013,42,42.672,0.271,0.010,21.39%,0.014,42,42.672,0.271,0.012,21.39%
Chu_Stuckey\Random-50-100-6-1,42.4,0.011,48,48.726,0.531,0.011,13.21%,0.019,50,50.742,0.531,0.015,17.92%,0.021,48,48.726,0.531,0.018,13.21%,0.017,48,48.726,0.531,0.014,13.21%
Chu_Stuckey\Random-50-100-6-2,42.4,0.013,50,50.769,0.518,0.013,17.92%,0.026,50,50.772,0.518,0.021,17.92%,0.025,50,50.769,0.518,0.018,17.92%,0.021,50,50.769,0.518,0.018,17.92%
Chu_Stuckey\Random-50-100-6-3,42.4,0.008,49,49.735,0.541,0.008,15.57%,0.029,49,49.753,0.541,0.024,15.57%,0.022,49,49.735,0.541,0.018,15.57%,0.020,49,49.735,0.541,0.016,15.57%
Chu_Stuckey\Random-50-100-6-4,42.4,0.008,49,49.745,0.555,0.008,15.57%,0.023,49,49.765,0.555,0.018,15.57%,0.022,49,49.745,0.555,0.019,15.57%,0.020,49,49.745,0.555,0.017,15.57%
Chu_Stuckey\Random-50-100-6-5,42.4,0.006,47,47.735,0.465,0.006,10.85%,0.019,47,47.743,0.465,0.015,10.85%,0.019,47,47.735,0.465,0.016,10.85%,0.017,47,47.735,0.465,0.014,10.85%
Chu_Stuckey\Random-50-100-8-1,46.2,0.010,50,50.809,0.705,0.010,8.23%,0.025,50,50.819,0.705,0.020,8.23%,0.021,50,50.805,0.705,0.018,8.23%,0.021,50,50.805,0.705,0.018,8.23%
Chu_Stuckey\Random-50-100-8-2,46.2,0.008,50,50.837,0.721,0.008,8.23%,0.021,50,50.835,0.721,0.015,8.23%,0.026,50,50.837,0.721,0.020,8.23%,0.020,50,50.837,0.721,0.018,8.23%
Chu_Stuckey\Random-50-100-8-3,46.2,0.013,50,50.814,0.707,0.013,8.23%,0.027,50,50.821,0.707,0.023,8.23%,0.023,50,50.814,0.707,0.020,8.23%,0.024,50,50.814,0.707,0.021,8.23%
Chu_Stuckey\Random-50-100-8-4,46.2,0.010,50,50.793,0.771,0.010,8.23%,0.023,50,50.813,0.771,0.018,8.23%,0.021,50,50.809,0.771,0.018,8.23%,0.033,50,50.809,0.771,0.028,8.23%
Chu_Stuckey\Random-50-100-8-5,46.2,0.009,49,49.804,0.693,0.009,6.06%,0.083,49,49.819,0.693,0.063,6.06%,0.051,49,49.804,0.693,0.047,6.06%,0.029,49,49.804,0.693,0.021,6.06%
Chu_Stuckey\Random-50-50-10-1,44.4,0.017,50,50.759,0.865,0.017,12.61%,0.013,50,50.759,0.865,0.012,12.61%,0.009,50,50.759,0.865,0.004,12.61%,0.005,50,50.759,0.865,0.004,12.61%
Chu_Stuckey\Random-50-50-10-2,44.4,0.005,50,50.767,0.846,0.005,12.61%,0.005,50,50.767,0.846,0.004,12.61%,0.005,50,50.767,0.846,0.004,12.61%,0.014,50,50.767,0.846,0.013,12.61%
Chu_Stuckey\Random-50-50-10-3,44.4,0.002,50,50.741,0.879,0.002,12.61%,0.010,50,50.741,0.879,0.005,12.61%,0.008,50,50.741,0.879,0.007,12.61%,0.006,50,50.741,0.879,0.005,12.61%
Chu_Stuckey\Random-50-50-10-4,44.4,0.004,50,50.765,0.873,0.004,12.61%,0.008,50,50.765,0.873,0.006,12.61%,0.005,50,50.765,0.873,0.004,12.61%,0.011,50,50.765,0.873,0.010,12.61%
Chu_Stuckey\Random-50-50-10-5,44.4,0.005,49,49.803,0.935,0.005,10.36%,0.007,49,49.803,0.935,0.005,10.36%,0.006,49,49.803,0.935,0.005,10.36%,0.007,49,49.803,0.935,0.006,10.36%
Chu_Stuckey\Random-50-50-2-1,13.2,0.001,18,18.720,0.166,0.001,36.36%,0.004,21,21.626,0.166,0.003,59.09%,0.003,18,18.720,0.166,0.002,36.36%,0.003,18,18.720,0.166,0.002,36.36%
Chu_Stuckey\Random-50-50-2-2,13.2,0.005,18,18.641,0.129,0.005,36.36%,0.007,17,17.668,0.129,0.005,28.79%,0.003,18,18.651,0.129,0.003,36.36%,0.003,18,18.651,0.129,0.002,36.36%
Chu_Stuckey\Random-50-50-2-3,13.2,0.001,17,17.675,0.129,0.001,28.79%,0.004,17,17.675,0.129,0.002,28.79%,0.004,17,17.675,0.129,0.003,28.79%,0.004,17,17.675,0.129,0.003,28.79%
Chu_Stuckey\Random-50-50-2-4,13.2,0.001,17,17.726,0.150,0.001,28.79%,0.003,14,14.777,0.150,0.002,6.06%,0.003,17,17.726,0.150,0.003,28.79%,0.003,17,17.726,0.150,0.002,28.79%
Chu_Stuckey\Random-50-50-2-5,13.2,0.003,21,21.601,0.136,0.003,59.09%,0.005,21,21.601,0.136,0.004,59.09%,0.007,21,21.601,0.136,0.006,59.09%,0.011,21,21.601,0.136,0.011,59.09%
Chu_Stuckey\Random-50-50-4-1,23.8,0.002,34,34.592,0.293,0.002,42.86%,0.008,29,29.652,0.293,0.006,21.85%,0.008,34,34.592,0.293,0.005,42.86%,0.007,34,34.592,0.293,0.006,42.86%
Chu_Stuckey\Random-50-50-4-2,23.8,0.002,28,28.704,0.314,0.002,17.65%,0.004,28,28.709,0.314,0.002,17.65%,0.004,28,28.704,0.314,0.003,17.65%,0.008,28,28.704,0.314,0.005,17.65%
Chu_Stuckey\Random-50-50-4-3,23.8,0.003,28,28.688,0.293,0.003,17.65%,0.004,28,28.691,0.293,0.002,17.65%,0.005,28,28.688,0.293,0.004,17.65%,0.008,28,28.688,0.293,0.007,17.65%
Chu_Stuckey\Random-50-50-4-4,23.8,0.001,37,37.598,0.336,0.001,55.46%,0.006,34,34.664,0.336,0.004,42.86%,0.004,36,36.628,0.336,0.003,51.26%,0.004,36,36.628,0.336,0.004,51.26%
Chu_Stuckey\Random-50-50-4-5,23.8,0.002,34,34.674,0.356,0.002,42.86%,0.004,33,33.675,0.356,0.003,38.66%,0.004,33,33.675,0.356,0.003,38.66%,0.005,33,33.675,0.356,0.004,38.66%
Chu_Stuckey\Random-50-50-6-1,35.2,0.002,42,42.687,0.558,0.002,19.32%,0.010,43,43.651,0.558,0.009,22.16%,0.005,43,43.651,0.558,0.004,22.16%,0.004,43,43.651,0.558,0.003,22.16%
Chu_Stuckey\Random-50-50-6-2,35.2,0.002,39,39.677,0.520,0.002,10.80%,0.013,40,40.706,0.520,0.012,13.64%,0.005,40,40.676,0.520,0.004,13.64%,0.005,40,40.676,0.520,0.005,13.64%
Chu_Stuckey\Random-50-50-6-3,35.2,0.002,39,39.683,0.521,0.002,10.80%,0.004,39,39.676,0.521,0.003,10.80%,0.004,39,39.676,0.521,0.003,10.80%,0.012,39,39.676,0.521,0.011,10.80%
Chu_Stuckey\Random-50-50-6-4,35.2,0.004,45,45.628,0.553,0.004,27.84%,0.004,47,47.634,0.553,0.003,33.52%,0.005,47,47.611,0.553,0.004,33.52%,0.006,47,47.611,0.553,0.005,33.52%
Chu_Stuckey\Random-50-50-6-5,35.2,0.002,43,43.684,0.624,0.002,22.16%,0.005,43,43.692,0.624,0.004,22.16%,0.004,43,43.684,0.624,0.003,22.16%,0.005,43,43.684,0.624,0.005,22.16%
Chu_Stuckey\Random-50-50-8-1,40.4,0.002,49,49.669,0.740,0.002,21.29%,0.009,44,44.730,0.740,0.004,8.91%,0.005,44,44.720,0.740,0.004,8.91%,0.006,44,44.720,0.740,0.005,8.91%
Chu_Stuckey\Random-50-50-8-2,40.4,0.003,45,45.696,0.704,0.003,11.39%,0.005,44,44.710,0.704,0.004,8.91%,0.009,45,45.696,0.704,0.008,11.39%,0.008,45,45.696,0.704,0.007,11.39%
Chu_Stuckey\Random-50-50-8-3,40.4,0.002,45,45.740,0.748,0.002,11.39%,0.007,45,45.740,0.748,0.004,11.39%,0.005,45,45.740,0.748,0.004,11.39%,0.006,45,45.740,0.748,0.004,11.39%
Chu_Stuckey\Random-50-50-8-4,40.4,0.002,50,50.724,0.758,0.002,23.76%,0.008,50,50.724,0.758,0.007,23.76%,0.010,50,50.724,0.758,0.009,23.76%,0.010,50,50.724,0.758,0.009,23.76%
Chu_Stuckey\Random-50-50-8-5,40.4,0.002,47,47.779,0.843,0.002,16.34%,0.009,47,47.779,0.843,0.005,16.34%,0.006,47,47.779,0.843,0.005,16.34%,0.005,47,47.779,0.843,0.004,16.34%
Chu_Stuckey\Random-75-75-10-1,64.8,0.022,73,73.774,0.741,0.022,12.65%,0.033,73,73.774,0.741,0.026,12.65%,0.019,73,73.774,0.741,0.014,12.65%,0.027,73,73.774,0.741,0.024,12.65%
Chu_Stuckey\Random-75-75-10-2,64.8,0.012,72,72.767,0.754,0.012,11.11%,0.023,72,72.767,0.754,0.020,11.11%,0.031,72,72.767,0.754,0.029,11.11%,0.024,72,72.767,0.754,0.022,11.11%
Chu_Stuckey\Random-75-75-10-3,64.8,0.012,75,75.732,0.765,0.012,15.74%,0.012,75,75.732,0.765,0.010,15.74%,0.021,75,75.732,0.765,0.018,15.74%,0.015,75,75.732,0.765,0.013,15.74%
Chu_Stuckey\Random-75-75-10-4,64.8,0.009,74,74.735,0.745,0.009,14.20%,0.017,74,74.735,0.745,0.014,14.20%,0.014,74,74.735,0.745,0.011,14.20%,0.018,74,74.735,0.745,0.016,14.20%
Chu_Stuckey\Random-75-75-10-5,64.8,0.005,73,73.757,0.719,0.005,12.65%,0.018,73,73.757,0.719,0.015,12.65%,0.019,73,73.757,0.719,0.017,12.65%,0.011,73,73.757,0.719,0.010,12.65%
Chu_Stuckey\Random-75-75-2-1,15.8,0.003,26,26.642,0.094,0.003,64.56%,0.008,24,24.651,0.094,0.006,51.90%,0.008,26,26.642,0.094,0.004,64.56%,0.008,26,26.642,0.094,0.007,64.56%
Chu_Stuckey\Random-75-75-2-2,15.8,0.002,26,26.673,0.102,0.002,64.56%,0.006,26,26.659,0.102,0.004,64.56%,0.008,31,31.653,0.102,0.006,96.20%,0.010,31,31.653,0.102,0.008,96.20%
Chu_Stuckey\Random-75-75-2-3,15.8,0.002,28,28.697,0.095,0.002,77.22%,0.006,28,28.693,0.095,0.004,77.22%,0.006,28,28.697,0.095,0.004,77.22%,0.010,28,28.697,0.095,0.008,77.22%
Chu_Stuckey\Random-75-75-2-4,15.8,0.002,19,19.740,0.077,0.002,20.25%,0.006,20,20.669,0.077,0.004,26.58%,0.007,20,20.669,0.077,0.006,26.58%,0.006,20,20.669,0.077,0.005,26.58%
Chu_Stuckey\Random-75-75-2-5,15.8,0.002,24,24.669,0.087,0.002,51.90%,0.006,26,26.616,0.087,0.004,64.56%,0.009,26,26.615,0.087,0.008,64.56%,0.005,26,26.615,0.087,0.004,64.56%
Chu_Stuckey\Random-75-75-4-1,34.2,0.004,45,45.652,0.222,0.004,31.58%,0.009,46,46.648,0.222,0.007,34.50%,0.007,45,45.652,0.222,0.005,31.58%,0.007,45,45.652,0.222,0.006,31.58%
Chu_Stuckey\Random-75-75-4-2,34.2,0.004,46,46.637,0.235,0.004,34.50%,0.012,44,44.692,0.235,0.009,28.65%,0.012,46,46.672,0.235,0.010,34.50%,0.015,46,46.672,0.235,0.013,34.50%
Chu_Stuckey\Random-75-75-4-3,34.2,0.004,44,44.648,0.212,0.004,28.65%,0.011,43,43.656,0.212,0.010,25.73%,0.008,48,48.622,0.212,0.006,40.35%,0.007,48,48.622,0.212,0.005,40.35%
Chu_Stuckey\Random-75-75-4-4,34.2,0.003,42,42.674,0.207,0.003,22.81%,0.010,42,42.674,0.207,0.007,22.81%,0.008,42,42.674,0.207,0.005,22.81%,0.010,42,42.674,0.207,0.009,22.81%
Chu_Stuckey\Random-75-75-4-5,34.2,0.003,39,39.679,0.199,0.003,14.04%,0.009,39,39.688,0.199,0.005,14.04%,0.006,39,39.679,0.199,0.005,14.04%,0.008,39,39.679,0.199,0.006,14.04%
Chu_Stuckey\Random-75-75-6-1,50.0,0.004,54,54.688,0.412,0.004,8.00%,0.009,56,56.684,0.412,0.007,12.00%,0.013,54,54.688,0.412,0.012,8.00%,0.013,54,54.688,0.412,0.011,8.00%
Chu_Stuckey\Random-75-75-6-2,50.0,0.005,64,64.650,0.445,0.005,28.00%,0.011,61,61.659,0.445,0.008,22.00%,0.014,61,61.659,0.445,0.013,22.00%,0.010,61,61.659,0.445,0.009,22.00%
Chu_Stuckey\Random-75-75-6-3,50.0,0.005,63,63.680,0.404,0.005,26.00%,0.012,63,63.680,0.404,0.010,26.00%,0.008,63,63.680,0.404,0.007,26.00%,0.009,63,63.680,0.404,0.007,26.00%
Chu_Stuckey\Random-75-75-6-4,50.0,0.004,57,57.671,0.403,0.004,14.00%,0.011,57,57.671,0.403,0.009,14.00%,0.008,57,57.671,0.403,0.007,14.00%,0.014,57,57.671,0.403,0.012,14.00%
Chu_Stuckey\Random-75-75-6-5,50.0,0.007,64,64.640,0.390,0.007,28.00%,0.011,60,60.652,0.390,0.008,20.00%,0.010,64,64.640,0.390,0.008,28.00%,0.009,64,64.640,0.390,0.008,28.00%
Chu_Stuckey\Random-75-75-8-1,59.4,0.007,69,69.743,0.601,0.007,16.16%,0.017,69,69.741,0.601,0.008,16.16%,0.013,69,69.743,0.601,0.012,16.16%,0.009,69,69.743,0.601,0.008,16.16%
Chu_Stuckey\Random-75-75-8-2,59.4,0.004,72,72.709,0.628,0.004,21.21%,0.015,69,69.726,0.628,0.013,16.16%,0.012,69,69.726,0.628,0.009,16.16%,0.013,69,69.726,0.628,0.011,16.16%
Chu_Stuckey\Random-75-75-8-3,59.4,0.004,71,71.704,0.619,0.004,19.53%,0.012,71,71.704,0.619,0.009,19.53%,0.012,71,71.704,0.619,0.010,19.53%,0.011,71,71.704,0.619,0.009,19.53%
Chu_Stuckey\Random-75-75-8-4,59.4,0.004,71,71.701,0.602,0.004,19.53%,0.011,71,71.701,0.602,0.009,19.53%,0.012,71,71.701,0.602,0.009,19.53%,0.025,71,71.701,0.602,0.023,19.53%
Chu_Stuckey\Random-75-75-8-5,59.4,0.004,71,71.684,0.575,0.004,19.53%,0.014,71,71.684,0.575,0.012,19.53%,0.012,71,71.684,0.575,0.010,19.53%,0.013,71,71.684,0.575,0.011,19.53%
