instancia,sem_tempo,sem_tamanho,sem_densidade,p1_tempo,p1_tamanho,p1_densidade,p2_tempo,p2_tamanho,p2_densidade,p3_tempo,p3_tamanho,p3_densidade
Chu_Stuckey\Random-75-75-4-1,0.000,(75;616),0.222,0.002,(72;590),0.231,0.001,(75;616),0.222,0.001,(75;616),0.222
Chu_Stuckey\Random-75-75-4-2,0.000,(75;651),0.235,0.002,(73;638),0.243,0.001,(75;651),0.235,0.002,(75;651),0.235
Chu_Stuckey\Random-75-75-4-3,0.000,(75;587),0.212,0.002,(74;578),0.214,0.001,(75;587),0.212,0.001,(75;587),0.212
Chu_Stuckey\Random-75-75-4-4,0.000,(75;574),0.207,0.002,(73;560),0.213,0.001,(75;574),0.207,0.001,(75;574),0.207
Chu_Stuckey\Random-75-75-4-5,0.000,(75;553),0.199,0.002,(70;513),0.212,0.001,(75;553),0.199,0.002,(75;553),0.199
Chu_Stuckey\Random-75-75-6-1,0.000,(75;1142),0.412,0.003,(72;1094),0.428,0.001,(75;1142),0.412,0.001,(75;1142),0.412
Chu_Stuckey\Random-75-75-6-2,0.000,(75;1234),0.445,0.003,(75;1234),0.445,0.002,(75;1234),0.445,0.001,(75;1234),0.445
Chu_Stuckey\Random-75-75-6-3,0.000,(75;1120),0.404,0.002,(75;1120),0.404,0.001,(75;1120),0.404,0.001,(75;1120),0.404
Chu_Stuckey\Random-75-75-6-4,0.000,(75;1118),0.403,0.003,(75;1118),0.403,0.002,(75;1118),0.403,0.001,(75;1118),0.403
Chu_Stuckey\Random-75-75-6-5,0.000,(75;1082),0.390,0.003,(73;1057),0.402,0.001,(75;1082),0.390,0.001,(75;1082),0.390
Chu_Stuckey\Random-75-75-8-1,0.000,(75;1668),0.601,0.003,(74;1651),0.611,0.001,(75;1668),0.601,0.001,(75;1668),0.601
Chu_Stuckey\Random-75-75-8-2,0.000,(75;1743),0.628,0.003,(75;1743),0.628,0.001,(75;1743),0.628,0.001,(75;1743),0.628
Chu_Stuckey\Random-75-75-8-3,0.000,(75;1718),0.619,0.002,(75;1718),0.619,0.002,(75;1718),0.619,0.001,(75;1718),0.619
Chu_Stuckey\Random-75-75-8-4,0.000,(75;1670),0.602,0.002,(75;1670),0.602,0.001,(75;1670),0.602,0.001,(75;1670),0.602
Chu_Stuckey\Random-75-75-8-5,0.000,(75;1596),0.575,0.002,(75;1596),0.575,0.002,(75;1596),0.575,0.001,(75;1596),0.575
