instancia,sem_tempo,sem_tamanho,sem_densidade,p1_tempo,p1_tamanho,p1_densidade,p2_tempo,p2_tamanho,p2_densidade,p3_tempo,p3_tamanho,p3_densidade
"Frinhani, Carvalho & Soma\Random-600-600-14-2",0.000,(600;49067),0.273,0.275,(600;49067),0.273,0.078,(600;49067),0.273,0.076,(600;49067),0.273
"Frinhani, Carvalho & Soma\Random-600-600-14-3",0.000,(600;49177),0.274,0.286,(600;49177),0.274,0.084,(600;49177),0.274,0.078,(600;49177),0.274
"Frinhani, Carvalho & Soma\Random-600-600-14-4",0.000,(600;48904),0.272,0.293,(600;48904),0.272,0.075,(600;48904),0.272,0.081,(600;48904),0.272
"Frinhani, Carvalho & Soma\Random-600-600-14-5",0.000,(600;49826),0.277,0.290,(600;49826),0.277,0.084,(600;49826),0.277,0.089,(600;49826),0.277
"Frinhani, Carvalho & Soma\Random-600-600-14-6",0.000,(600;49822),0.277,0.279,(600;49822),0.277,0.081,(600;49822),0.277,0.075,(600;49822),0.277
"Frinhani, Carvalho & Soma\Random-600-600-14-7",0.000,(600;48832),0.272,0.267,(600;48832),0.272,0.074,(600;48832),0.272,0.072,(600;48832),0.272
"Frinhani, Carvalho & Soma\Random-600-600-14-8",0.000,(600;50387),0.280,0.269,(600;50387),0.280,0.091,(600;50387),0.280,0.074,(600;50387),0.280
"Frinhani, Carvalho & Soma\Random-600-600-14-9",0.000,(600;51062),0.284,0.268,(600;51062),0.284,0.097,(600;51062),0.284,0.072,(600;51062),0.284
"Frinhani, Carvalho & Soma\Random-600-600-18-1",0.000,(600;76360),0.425,0.344,(600;76360),0.425,0.082,(600;76360),0.425,0.087,(600;76360),0.425
"Frinhani, Carvalho & Soma\Random-600-600-18-10",0.000,(600;74359),0.414,0.365,(600;74359),0.414,0.087,(600;74359),0.414,0.078,(600;74359),0.414
"Frinhani, Carvalho & Soma\Random-600-600-18-2",0.000,(600;73426),0.409,0.373,(600;73426),0.409,0.102,(600;73426),0.409,0.076,(600;73426),0.409
"Frinhani, Carvalho & Soma\Random-600-600-18-3",0.000,(600;74197),0.413,0.313,(600;74197),0.413,0.081,(600;74197),0.413,0.076,(600;74197),0.413
"Frinhani, Carvalho & Soma\Random-600-600-18-4",0.000,(600;73948),0.412,0.354,(600;73948),0.412,0.084,(600;73948),0.412,0.076,(600;73948),0.412
"Frinhani, Carvalho & Soma\Random-600-600-18-5",0.000,(600;74795),0.416,0.364,(600;74795),0.416,0.085,(600;74795),0.416,0.079,(600;74795),0.416
"Frinhani, Carvalho & Soma\Random-600-600-18-6",0.000,(600;75098),0.418,0.364,(600;75098),0.418,0.086,(600;75098),0.418,0.080,(600;75098),0.418
"Frinhani, Carvalho & Soma\Random-600-600-18-7",0.000,(600;73452),0.409,0.333,(600;73452),0.409,0.094,(600;73452),0.409,0.078,(600;73452),0.409
"Frinhani, Carvalho & Soma\Random-600-600-18-8",0.000,(600;74955),0.417,0.364,(600;74955),0.417,0.094,(600;74955),0.417,0.082,(600;74955),0.417
"Frinhani, Carvalho & Soma\Random-600-600-18-9",0.000,(600;75527),0.420,0.372,(600;75527),0.420,0.079,(600;75527),0.420,0.083,(600;75527),0.420
"Frinhani, Carvalho & Soma\Random-600-600-2-1",0.000,(600;1991),0.011,0.112,(595;1962),0.011,0.065,(600;1991),0.011,0.078,(599;1989),0.011
"Frinhani, Carvalho & Soma\Random-600-600-2-10",0.000,(600;2097),0.012,0.117,(597;2078),0.012,0.074,(600;2097),0.012,0.078,(599;2095),0.012
"Frinhani, Carvalho & Soma\Random-600-600-2-2",0.000,(600;2011),0.011,0.120,(595;1986),0.011,0.071,(600;2011),0.011,0.079,(597;2005),0.011
"Frinhani, Carvalho & Soma\Random-600-600-2-3",0.000,(600;2103),0.012,0.118,(594;2057),0.012,0.065,(600;2103),0.012,0.073,(597;2097),0.012
"Frinhani, Carvalho & Soma\Random-600-600-2-4",0.000,(600;2050),0.011,0.122,(598;2034),0.011,0.077,(600;2050),0.011,0.080,(600;2050),0.011
"Frinhani, Carvalho & Soma\Random-600-600-2-5",0.000,(600;2071),0.012,0.117,(599;2066),0.012,0.073,(600;2071),0.012,0.070,(600;2071),0.012
"Frinhani, Carvalho & Soma\Random-600-600-2-6",0.000,(600;2106),0.012,0.134,(597;2085),0.012,0.074,(600;2106),0.012,0.085,(597;2100),0.012
"Frinhani, Carvalho & Soma\Random-600-600-2-7",0.000,(600;2051),0.011,0.114,(598;2040),0.011,0.064,(600;2051),0.011,0.071,(599;2049),0.011
"Frinhani, Carvalho & Soma\Random-600-600-2-8",0.000,(600;2190),0.012,0.115,(596;2160),0.012,0.072,(600;2190),0.012,0.071,(599;2188),0.012
"Frinhani, Carvalho & Soma\Random-600-600-2-9",0.000,(600;2009),0.011,0.114,(594;1969),0.011,0.066,(600;2009),0.011,0.075,(596;2001),0.011
"Frinhani, Carvalho & Soma\Random-600-600-20-1",0.000,(600;86782),0.483,0.366,(600;86782),0.483,0.080,(600;86782),0.483,0.075,(600;86782),0.483
"Frinhani, Carvalho & Soma\Random-600-600-20-10",0.000,(600;88385),0.492,0.390,(600;88385),0.492,0.094,(600;88385),0.492,0.082,(600;88385),0.492
"Frinhani, Carvalho & Soma\Random-600-600-20-2",0.000,(600;87482),0.487,0.365,(600;87482),0.487,0.078,(600;87482),0.487,0.077,(600;87482),0.487
"Frinhani, Carvalho & Soma\Random-600-600-20-3",0.000,(600;86605),0.482,0.352,(600;86605),0.482,0.084,(600;86605),0.482,0.075,(600;86605),0.482
"Frinhani, Carvalho & Soma\Random-600-600-20-4",0.000,(600;87153),0.485,0.359,(600;87153),0.485,0.079,(600;87153),0.485,0.083,(600;87153),0.485
"Frinhani, Carvalho & Soma\Random-600-600-20-5",0.000,(600;86757),0.483,0.397,(600;86757),0.483,0.082,(600;86757),0.483,0.079,(600;86757),0.483
"Frinhani, Carvalho & Soma\Random-600-600-20-6",0.000,(600;89426),0.498,0.370,(600;89426),0.498,0.092,(600;89426),0.498,0.091,(600;89426),0.498
"Frinhani, Carvalho & Soma\Random-600-600-20-7",0.000,(600;89361),0.497,0.417,(600;89361),0.497,0.098,(600;89361),0.497,0.089,(600;89361),0.497
"Frinhani, Carvalho & Soma\Random-600-600-20-8",0.000,(600;87834),0.489,0.412,(600;87834),0.489,0.080,(600;87834),0.489,0.077,(600;87834),0.489
"Frinhani, Carvalho & Soma\Random-600-600-20-9",0.000,(600;85840),0.478,0.391,(600;85840),0.478,0.081,(600;85840),0.478,0.081,(600;85840),0.478
"Frinhani, Carvalho & Soma\Random-600-600-24-1",0.000,(600;109660),0.610,0.417,(600;109660),0.610,0.082,(600;109660),0.610,0.075,(600;109660),0.610
"Frinhani, Carvalho & Soma\Random-600-600-24-10",0.000,(600;110408),0.614,0.424,(600;110408),0.614,0.089,(600;110408),0.614,0.080,(600;110408),0.614
"Frinhani, Carvalho & Soma\Random-600-600-24-2",0.000,(600;110607),0.616,0.404,(600;110607),0.616,0.082,(600;110607),0.616,0.087,(600;110607),0.616
"Frinhani, Carvalho & Soma\Random-600-600-24-3",0.000,(600;111556),0.621,0.459,(600;111556),0.621,0.082,(600;111556),0.621,0.085,(600;111556),0.621
"Frinhani, Carvalho & Soma\Random-600-600-24-4",0.000,(600;110537),0.615,0.474,(600;110537),0.615,0.102,(600;110537),0.615,0.088,(600;110537),0.615
"Frinhani, Carvalho & Soma\Random-600-600-24-5",0.000,(600;111609),0.621,0.428,(600;111609),0.621,0.102,(600;111609),0.621,0.076,(600;111609),0.621
"Frinhani, Carvalho & Soma\Random-600-600-24-6",0.000,(600;113049),0.629,0.452,(600;113049),0.629,0.088,(600;113049),0.629,0.078,(600;113049),0.629
"Frinhani, Carvalho & Soma\Random-600-600-24-7",0.000,(600;111615),0.621,0.431,(600;111615),0.621,0.083,(600;111615),0.621,0.079,(600;111615),0.621
"Frinhani, Carvalho & Soma\Random-600-600-24-8",0.000,(600;111683),0.621,0.404,(600;111683),0.621,0.085,(600;111683),0.621,0.076,(600;111683),0.621
"Frinhani, Carvalho & Soma\Random-600-600-24-9",0.000,(600;111839),0.622,0.449,(600;111839),0.622,0.086,(600;111839),0.622,0.078,(600;111839),0.622
"Frinhani, Carvalho & Soma\Random-600-600-28-1",0.000,(600;130199),0.725,0.483,(600;130199),0.725,0.085,(600;130199),0.725,0.079,(600;130199),0.725
"Frinhani, Carvalho & Soma\Random-600-600-28-10",0.000,(600;130766),0.728,0.554,(600;130766),0.728,0.105,(600;130766),0.728,0.081,(600;130766),0.728
"Frinhani, Carvalho & Soma\Random-600-600-28-2",0.000,(600;131510),0.732,0.520,(600;131510),0.732,0.089,(600;131510),0.732,0.086,(600;131510),0.732
"Frinhani, Carvalho & Soma\Random-600-600-28-3",0.000,(600;131900),0.734,0.470,(600;131900),0.734,0.104,(600;131900),0.734,0.085,(600;131900),0.734
"Frinhani, Carvalho & Soma\Random-600-600-28-4",0.000,(600;130529),0.726,0.517,(600;130529),0.726,0.091,(600;130529),0.726,0.080,(600;130529),0.726
"Frinhani, Carvalho & Soma\Random-600-600-28-5",0.000,(600;131728),0.733,0.473,(600;131728),0.733,0.094,(600;131728),0.733,0.078,(600;131728),0.733
"Frinhani, Carvalho & Soma\Random-600-600-28-6",0.000,(600;132473),0.737,0.547,(600;132473),0.737,0.092,(600;132473),0.737,0.080,(600;132473),0.737
"Frinhani, Carvalho & Soma\Random-600-600-28-7",0.000,(600;132025),0.735,0.535,(600;132025),0.735,0.100,(600;132025),0.735,0.096,(600;132025),0.735
"Frinhani, Carvalho & Soma\Random-600-600-28-8",0.000,(600;131209),0.730,0.505,(600;131209),0.730,0.095,(600;131209),0.730,0.095,(600;131209),0.730
"Frinhani, Carvalho & Soma\Random-600-600-28-9",0.000,(600;132002),0.735,0.523,(600;132002),0.735,0.095,(600;132002),0.735,0.093,(600;132002),0.735
"Frinhani, Carvalho & Soma\Random-600-600-30-1",0.000,(600;141149),0.785,0.568,(600;141149),0.785,0.088,(600;141149),0.785,0.081,(600;141149),0.785
"Frinhani, Carvalho & Soma\Random-600-600-30-10",0.000,(600;140588),0.782,0.553,(600;140588),0.782,0.087,(600;140588),0.782,0.093,(600;140588),0.782
"Frinhani, Carvalho & Soma\Random-600-600-30-2",0.000,(600;139539),0.777,0.500,(600;139539),0.777,0.088,(600;139539),0.777,0.085,(600;139539),0.777
"Frinhani, Carvalho & Soma\Random-600-600-30-3",0.000,(600;141311),0.786,0.501,(600;141311),0.786,0.107,(600;141311),0.786,0.090,(600;141311),0.786
"Frinhani, Carvalho & Soma\Random-600-600-30-4",0.000,(600;141643),0.788,0.538,(600;141643),0.788,0.090,(600;141643),0.788,0.082,(600;141643),0.788
"Frinhani, Carvalho & Soma\Random-600-600-30-5",0.000,(600;140887),0.784,0.500,(600;140887),0.784,0.101,(600;140887),0.784,0.081,(600;140887),0.784
"Frinhani, Carvalho & Soma\Random-600-600-30-6",0.000,(600;139214),0.775,0.482,(600;139214),0.775,0.087,(600;139214),0.775,0.077,(600;139214),0.775
"Frinhani, Carvalho & Soma\Random-600-600-30-7",0.000,(600;138703),0.772,0.466,(600;138703),0.772,0.085,(600;138703),0.772,0.081,(600;138703),0.772
"Frinhani, Carvalho & Soma\Random-600-600-30-8",0.000,(600;139156),0.774,0.529,(600;139156),0.774,0.095,(600;139156),0.774,0.078,(600;139156),0.774
"Frinhani, Carvalho & Soma\Random-600-600-30-9",0.000,(600;138682),0.772,0.485,(600;138682),0.772,0.097,(600;138682),0.772,0.078,(600;138682),0.772
"Frinhani, Carvalho & Soma\Random-600-600-34-1",0.000,(600;154654),0.861,0.526,(600;154654),0.861,0.087,(600;154654),0.861,0.081,(600;154654),0.861
"Frinhani, Carvalho & Soma\Random-600-600-34-10",0.000,(600;154800),0.861,0.510,(600;154800),0.861,0.088,(600;154800),0.861,0.079,(600;154800),0.861
"Frinhani, Carvalho & Soma\Random-600-600-34-2",0.000,(600;153232),0.853,0.519,(600;153232),0.853,0.099,(600;153232),0.853,0.084,(600;153232),0.853
"Frinhani, Carvalho & Soma\Random-600-600-34-3",0.000,(600;155248),0.864,0.509,(600;155248),0.864,0.088,(600;155248),0.864,0.077,(600;155248),0.864
"Frinhani, Carvalho & Soma\Random-600-600-34-4",0.000,(600;154773),0.861,0.519,(600;154773),0.861,0.086,(600;154773),0.861,0.079,(600;154773),0.861
"Frinhani, Carvalho & Soma\Random-600-600-34-5",0.000,(600;154565),0.860,0.554,(600;154565),0.860,0.087,(600;154565),0.860,0.078,(600;154565),0.860
"Frinhani, Carvalho & Soma\Random-600-600-34-6",0.000,(600;153353),0.853,0.521,(600;153353),0.853,0.087,(600;153353),0.853,0.078,(600;153353),0.853
"Frinhani, Carvalho & Soma\Random-600-600-34-7",0.000,(600;152736),0.850,0.518,(600;152736),0.850,0.087,(600;152736),0.850,0.083,(600;152736),0.850
"Frinhani, Carvalho & Soma\Random-600-600-34-8",0.000,(600;153499),0.854,0.505,(600;153499),0.854,0.090,(600;153499),0.854,0.077,(600;153499),0.854
"Frinhani, Carvalho & Soma\Random-600-600-34-9",0.000,(600;153090),0.852,0.511,(600;153090),0.852,0.094,(600;153090),0.852,0.090,(600;153090),0.852
"Frinhani, Carvalho & Soma\Random-600-600-38-1",0.000,(600;163585),0.910,0.592,(600;163585),0.910,0.086,(600;163585),0.910,0.092,(600;163585),0.910
"Frinhani, Carvalho & Soma\Random-600-600-38-10",0.000,(600;162865),0.906,0.573,(600;162865),0.906,0.087,(600;162865),0.906,0.090,(600;162865),0.906
"Frinhani, Carvalho & Soma\Random-600-600-38-2",0.000,(600;164536),0.916,0.554,(600;164536),0.916,0.108,(600;164536),0.916,0.079,(600;164536),0.916
"Frinhani, Carvalho & Soma\Random-600-600-38-3",0.000,(600;162941),0.907,0.551,(600;162941),0.907,0.089,(600;162941),0.907,0.088,(600;162941),0.907
"Frinhani, Carvalho & Soma\Random-600-600-38-4",0.000,(600;163290),0.909,0.552,(600;163290),0.909,0.095,(600;163290),0.909,0.078,(600;163290),0.909
"Frinhani, Carvalho & Soma\Random-600-600-38-5",0.000,(600;162733),0.906,0.596,(600;162733),0.906,0.100,(600;162733),0.906,0.093,(600;162733),0.906
"Frinhani, Carvalho & Soma\Random-600-600-38-6",0.000,(600;163090),0.908,0.661,(600;163090),0.908,0.107,(600;163090),0.908,0.087,(600;163090),0.908
"Frinhani, Carvalho & Soma\Random-600-600-38-7",0.000,(600;164328),0.914,0.597,(600;164328),0.914,0.106,(600;164328),0.914,0.078,(600;164328),0.914
"Frinhani, Carvalho & Soma\Random-600-600-38-8",0.000,(600;163560),0.910,0.615,(600;163560),0.910,0.099,(600;163560),0.910,0.083,(600;163560),0.910
"Frinhani, Carvalho & Soma\Random-600-600-38-9",0.000,(600;163336),0.909,0.671,(600;163336),0.909,0.107,(600;163336),0.909,0.081,(600;163336),0.909
"Frinhani, Carvalho & Soma\Random-600-600-4-1",0.000,(600;4875),0.027,0.138,(595;4832),0.027,0.064,(600;4875),0.027,0.080,(600;4875),0.027
"Frinhani, Carvalho & Soma\Random-600-600-4-10",0.000,(600;5128),0.029,0.141,(598;5113),0.029,0.079,(600;5128),0.029,0.068,(600;5128),0.029
"Frinhani, Carvalho & Soma\Random-600-600-4-2",0.000,(600;4878),0.027,0.150,(595;4828),0.027,0.077,(600;4878),0.027,0.067,(600;4878),0.027
"Frinhani, Carvalho & Soma\Random-600-600-4-3",0.000,(600;5066),0.028,0.158,(595;5026),0.028,0.073,(600;5066),0.028,0.071,(600;5066),0.028
"Frinhani, Carvalho & Soma\Random-600-600-4-4",0.000,(600;4955),0.028,0.137,(600;4955),0.028,0.068,(600;4955),0.028,0.083,(600;4955),0.028
"Frinhani, Carvalho & Soma\Random-600-600-4-5",0.000,(600;5379),0.030,0.148,(595;5333),0.030,0.065,(600;5379),0.030,0.076,(600;5379),0.030
"Frinhani, Carvalho & Soma\Random-600-600-4-6",0.000,(600;5175),0.029,0.149,(599;5167),0.029,0.073,(600;5175),0.029,0.065,(600;5175),0.029
"Frinhani, Carvalho & Soma\Random-600-600-4-7",0.000,(600;5179),0.029,0.140,(597;5142),0.029,0.064,(600;5179),0.029,0.066,(600;5179),0.029
"Frinhani, Carvalho & Soma\Random-600-600-4-8",0.000,(600;5242),0.029,0.147,(596;5194),0.029,0.067,(600;5242),0.029,0.065,(600;5242),0.029
"Frinhani, Carvalho & Soma\Random-600-600-4-9",0.000,(600;5029),0.028,0.141,(597;5002),0.028,0.076,(600;5029),0.028,0.078,(600;5029),0.028
"Frinhani, Carvalho & Soma\Random-600-600-40-1",0.000,(600;167157),0.930,0.687,(600;167157),0.930,0.112,(600;167157),0.930,0.085,(600;167157),0.930
"Frinhani, Carvalho & Soma\Random-600-600-40-10",0.000,(600;167255),0.931,0.742,(600;167255),0.931,0.107,(600;167255),0.931,0.087,(600;167255),0.931
"Frinhani, Carvalho & Soma\Random-600-600-40-2",0.000,(600;166582),0.927,0.684,(600;166582),0.927,0.093,(600;166582),0.927,0.091,(600;166582),0.927
"Frinhani, Carvalho & Soma\Random-600-600-40-3",0.000,(600;167380),0.931,0.595,(600;167380),0.931,0.090,(600;167380),0.931,0.084,(600;167380),0.931
"Frinhani, Carvalho & Soma\Random-600-600-40-4",0.000,(600;167078),0.930,0.722,(600;167078),0.930,0.092,(600;167078),0.930,0.082,(600;167078),0.930
"Frinhani, Carvalho & Soma\Random-600-600-40-5",0.000,(600;167090),0.930,0.733,(600;167090),0.930,0.100,(600;167090),0.930,0.079,(600;167090),0.930
"Frinhani, Carvalho & Soma\Random-600-600-40-6",0.000,(600;167952),0.935,0.794,(600;167952),0.935,0.107,(600;167952),0.935,0.080,(600;167952),0.935
"Frinhani, Carvalho & Soma\Random-600-600-40-7",0.000,(600;167907),0.934,0.774,(600;167907),0.934,0.105,(600;167907),0.934,0.086,(600;167907),0.934
"Frinhani, Carvalho & Soma\Random-600-600-40-8",0.000,(600;167285),0.931,0.623,(600;167285),0.931,0.100,(600;167285),0.931,0.088,(600;167285),0.931
"Frinhani, Carvalho & Soma\Random-600-600-40-9",0.000,(600;167342),0.931,0.734,(600;167342),0.931,0.099,(600;167342),0.931,0.090,(600;167342),0.931
"Frinhani, Carvalho & Soma\Random-600-600-6-1",0.000,(600;10539),0.059,0.159,(599;10521),0.059,0.068,(600;10539),0.059,0.069,(600;10539),0.059
"Frinhani, Carvalho & Soma\Random-600-600-6-10",0.000,(600;10750),0.060,0.166,(597;10702),0.060,0.067,(600;10750),0.060,0.066,(600;10750),0.060
"Frinhani, Carvalho & Soma\Random-600-600-6-2",0.000,(600;10495),0.058,0.162,(596;10427),0.059,0.068,(600;10495),0.058,0.067,(600;10495),0.058
"Frinhani, Carvalho & Soma\Random-600-600-6-3",0.000,(600;10688),0.059,0.160,(595;10631),0.060,0.075,(600;10688),0.059,0.071,(600;10688),0.059
"Frinhani, Carvalho & Soma\Random-600-600-6-4",0.000,(600;10101),0.056,0.158,(599;10092),0.056,0.071,(600;10101),0.056,0.066,(600;10101),0.056
"Frinhani, Carvalho & Soma\Random-600-600-6-5",0.000,(600;10571),0.059,0.194,(599;10557),0.059,0.071,(600;10571),0.059,0.066,(600;10571),0.059
"Frinhani, Carvalho & Soma\Random-600-600-6-6",0.000,(600;10844),0.060,0.161,(594;10763),0.061,0.065,(600;10844),0.060,0.064,(600;10844),0.060
"Frinhani, Carvalho & Soma\Random-600-600-6-7",0.000,(600;10783),0.060,0.154,(598;10743),0.060,0.069,(600;10783),0.060,0.070,(600;10783),0.060
"Frinhani, Carvalho & Soma\Random-600-600-6-8",0.000,(600;10941),0.061,0.163,(600;10941),0.061,0.074,(600;10941),0.061,0.072,(600;10941),0.061
"Frinhani, Carvalho & Soma\Random-600-600-6-9",0.000,(600;10633),0.059,0.159,(597;10600),0.060,0.066,(600;10633),0.059,0.066,(600;10633),0.059
"Frinhani, Carvalho & Soma\Random-600-600-8-1",0.000,(600;18100),0.101,0.181,(600;18100),0.101,0.067,(600;18100),0.101,0.067,(600;18100),0.101
"Frinhani, Carvalho & Soma\Random-600-600-8-10",0.000,(600;18298),0.102,0.182,(599;18281),0.102,0.067,(600;18298),0.102,0.067,(600;18298),0.102
"Frinhani, Carvalho & Soma\Random-600-600-8-2",0.000,(600;17950),0.100,0.188,(599;17933),0.100,0.084,(600;17950),0.100,0.073,(600;17950),0.100
"Frinhani, Carvalho & Soma\Random-600-600-8-3",0.000,(600;19398),0.108,0.181,(600;19398),0.108,0.071,(600;19398),0.108,0.069,(600;19398),0.108
"Frinhani, Carvalho & Soma\Random-600-600-8-4",0.000,(600;17572),0.098,0.182,(599;17562),0.098,0.073,(600;17572),0.098,0.082,(600;17572),0.098
"Frinhani, Carvalho & Soma\Random-600-600-8-5",0.000,(600;17512),0.097,0.182,(600;17512),0.097,0.068,(600;17512),0.097,0.076,(600;17512),0.097
"Frinhani, Carvalho & Soma\Random-600-600-8-6",0.000,(600;18199),0.101,0.188,(599;18184),0.102,0.065,(600;18199),0.101,0.069,(600;18199),0.101
"Frinhani, Carvalho & Soma\Random-600-600-8-7",0.000,(600;17262),0.096,0.173,(600;17262),0.096,0.068,(600;17262),0.096,0.064,(600;17262),0.096
"Frinhani, Carvalho & Soma\Random-600-600-8-8",0.000,(600;18266),0.102,0.180,(600;18266),0.102,0.068,(600;18266),0.102,0.068,(600;18266),0.102
"Frinhani, Carvalho & Soma\Random-600-600-8-9",0.000,(600;18218),0.101,0.186,(600;18218),0.101,0.068,(600;18218),0.101,0.068,(600;18218),0.101
"Frinhani, Carvalho & Soma\Random-800-800-10-1",0.000,(800;37596),0.118,0.366,(800;37596),0.118,0.124,(800;37596),0.118,0.120,(800;37596),0.118
"Frinhani, Carvalho & Soma\Random-800-800-10-10",0.000,(800;37602),0.118,0.346,(800;37602),0.118,0.125,(800;37602),0.118,0.131,(800;37602),0.118
"Frinhani, Carvalho & Soma\Random-800-800-10-2",0.000,(800;37797),0.118,0.382,(800;37797),0.118,0.128,(800;37797),0.118,0.123,(800;37797),0.118
"Frinhani, Carvalho & Soma\Random-800-800-10-3",0.000,(800;38037),0.119,0.341,(799;38013),0.119,0.134,(800;38037),0.119,0.129,(800;38037),0.119
"Frinhani, Carvalho & Soma\Random-800-800-10-4",0.000,(800;37011),0.116,0.396,(800;37011),0.116,0.148,(800;37011),0.116,0.126,(800;37011),0.116
"Frinhani, Carvalho & Soma\Random-800-800-10-5",0.000,(800;38730),0.121,0.369,(800;38730),0.121,0.209,(800;38730),0.121,0.122,(800;38730),0.121
"Frinhani, Carvalho & Soma\Random-800-800-10-6",0.000,(800;37747),0.118,0.360,(800;37747),0.118,0.128,(800;37747),0.118,0.124,(800;37747),0.118
"Frinhani, Carvalho & Soma\Random-800-800-10-7",0.000,(800;37588),0.118,0.379,(800;37588),0.118,0.138,(800;37588),0.118,0.131,(800;37588),0.118
"Frinhani, Carvalho & Soma\Random-800-800-10-8",0.000,(800;37725),0.118,0.391,(800;37725),0.118,0.135,(800;37725),0.118,0.124,(800;37725),0.118
"Frinhani, Carvalho & Soma\Random-800-800-10-9",0.000,(800;37212),0.116,0.412,(800;37212),0.116,0.200,(800;37212),0.116,0.122,(800;37212),0.116
"Frinhani, Carvalho & Soma\Random-800-800-14-1",0.000,(800;69510),0.217,0.453,(800;69510),0.217,0.132,(800;69510),0.217,0.151,(800;69510),0.217
"Frinhani, Carvalho & Soma\Random-800-800-14-10",0.000,(800;69840),0.219,0.498,(800;69840),0.219,0.143,(800;69840),0.219,0.157,(800;69840),0.219
"Frinhani, Carvalho & Soma\Random-800-800-14-2",0.000,(800;69748),0.218,0.475,(800;69748),0.218,0.137,(800;69748),0.218,0.125,(800;69748),0.218
"Frinhani, Carvalho & Soma\Random-800-800-14-3",0.000,(800;70197),0.220,0.452,(800;70197),0.220,0.158,(800;70197),0.220,0.148,(800;70197),0.220
"Frinhani, Carvalho & Soma\Random-800-800-14-4",0.000,(800;69690),0.218,0.449,(800;69690),0.218,0.147,(800;69690),0.218,0.133,(800;69690),0.218
"Frinhani, Carvalho & Soma\Random-800-800-14-5",0.000,(800;70439),0.220,0.468,(800;70439),0.220,0.136,(800;70439),0.220,0.128,(800;70439),0.220
"Frinhani, Carvalho & Soma\Random-800-800-14-6",0.000,(800;69449),0.217,0.572,(800;69449),0.217,0.139,(800;69449),0.217,0.130,(800;69449),0.217
"Frinhani, Carvalho & Soma\Random-800-800-14-7",0.000,(800;69633),0.218,0.468,(800;69633),0.218,0.138,(800;69633),0.218,0.140,(800;69633),0.218
"Frinhani, Carvalho & Soma\Random-800-800-14-8",0.000,(800;70207),0.220,0.527,(800;70207),0.220,0.135,(800;70207),0.220,0.134,(800;70207),0.220
"Frinhani, Carvalho & Soma\Random-800-800-14-9",0.000,(800;69749),0.218,0.447,(800;69749),0.218,0.145,(800;69749),0.218,0.132,(800;69749),0.218
"Frinhani, Carvalho & Soma\Random-800-800-18-1",0.000,(800;107667),0.337,0.570,(800;107667),0.337,0.133,(800;107667),0.337,0.131,(800;107667),0.337
"Frinhani, Carvalho & Soma\Random-800-800-18-10",0.000,(800;107311),0.336,0.568,(800;107311),0.336,0.184,(800;107311),0.336,0.132,(800;107311),0.336
"Frinhani, Carvalho & Soma\Random-800-800-18-2",0.000,(800;106099),0.332,0.674,(800;106099),0.332,0.140,(800;106099),0.332,0.152,(800;106099),0.332
"Frinhani, Carvalho & Soma\Random-800-800-18-3",0.000,(800;104928),0.328,0.611,(800;104928),0.328,0.142,(800;104928),0.328,0.144,(800;104928),0.328
"Frinhani, Carvalho & Soma\Random-800-800-18-4",0.000,(800;106647),0.334,0.571,(800;106647),0.334,0.133,(800;106647),0.334,0.128,(800;106647),0.334
"Frinhani, Carvalho & Soma\Random-800-800-18-5",0.000,(800;106355),0.333,0.609,(800;106355),0.333,0.143,(800;106355),0.333,0.165,(800;106355),0.333
"Frinhani, Carvalho & Soma\Random-800-800-18-6",0.000,(800;107155),0.335,0.595,(800;107155),0.335,0.148,(800;107155),0.335,0.143,(800;107155),0.335
"Frinhani, Carvalho & Soma\Random-800-800-18-7",0.000,(800;105224),0.329,0.577,(800;105224),0.329,0.148,(800;105224),0.329,0.128,(800;105224),0.329
"Frinhani, Carvalho & Soma\Random-800-800-18-8",0.000,(800;107076),0.335,0.656,(800;107076),0.335,0.163,(800;107076),0.335,0.130,(800;107076),0.335
"Frinhani, Carvalho & Soma\Random-800-800-18-9",0.000,(800;106086),0.332,0.579,(800;106086),0.332,0.161,(800;106086),0.332,0.130,(800;106086),0.332
"Frinhani, Carvalho & Soma\Random-800-800-2-1",0.000,(800;2516),0.008,0.190,(798;2501),0.008,0.118,(800;2516),0.008,0.131,(798;2512),0.008
"Frinhani, Carvalho & Soma\Random-800-800-2-10",0.000,(800;2708),0.008,0.215,(798;2700),0.008,0.118,(800;2708),0.008,0.136,(795;2698),0.009
"Frinhani, Carvalho & Soma\Random-800-800-2-2",0.000,(800;2675),0.008,0.194,(796;2653),0.008,0.115,(800;2675),0.008,0.160,(794;2663),0.008
"Frinhani, Carvalho & Soma\Random-800-800-2-3",0.000,(800;2735),0.009,0.217,(797;2720),0.009,0.165,(800;2735),0.009,0.163,(796;2727),0.009
"Frinhani, Carvalho & Soma\Random-800-800-2-4",0.000,(800;2733),0.009,0.213,(798;2722),0.009,0.121,(800;2733),0.009,0.132,(797;2727),0.009
"Frinhani, Carvalho & Soma\Random-800-800-2-5",0.000,(800;2934),0.009,0.196,(799;2923),0.009,0.130,(800;2934),0.009,0.145,(796;2926),0.009
"Frinhani, Carvalho & Soma\Random-800-800-2-6",0.000,(800;2631),0.008,0.232,(799;2624),0.008,0.131,(800;2631),0.008,0.136,(798;2627),0.008
