instancia,sem_tempo,sem_tamanho,sem_densidade,p1_tempo,p1_tamanho,p1_densidade,p2_tempo,p2_tamanho,p2_densidade,p3_tempo,p3_tamanho,p3_densidade
"Frinhani, Carvalho & Soma\Random-1000-1000-20-9",0.000,(1000;164876),0.330,1.053,(1000;164876),0.330,0.222,(1000;164876),0.330,0.237,(1000;164876),0.330
"Frinhani, Carvalho & Soma\Random-1000-1000-24-1",0.000,(1000;219782),0.440,1.162,(1000;219782),0.440,0.232,(1000;219782),0.440,0.237,(1000;219782),0.440
"Frinhani, Carvalho & Soma\Random-1000-1000-24-10",0.000,(1000;219584),0.440,1.215,(1000;219584),0.440,0.297,(1000;219584),0.440,0.203,(1000;219584),0.440
"Frinhani, Carvalho & Soma\Random-1000-1000-24-2",0.000,(1000;220616),0.442,1.209,(1000;220616),0.442,0.223,(1000;220616),0.442,0.207,(1000;220616),0.442
"Frinhani, Carvalho & Soma\Random-1000-1000-24-3",0.000,(1000;218418),0.437,1.356,(1000;218418),0.437,0.238,(1000;218418),0.437,0.196,(1000;218418),0.437
"Frinhani, Carvalho & Soma\Random-1000-1000-24-4",0.000,(1000;220192),0.441,1.065,(1000;220192),0.441,0.206,(1000;220192),0.441,0.206,(1000;220192),0.441
"Frinhani, Carvalho & Soma\Random-1000-1000-24-5",0.000,(1000;219673),0.440,1.069,(1000;219673),0.440,0.210,(1000;219673),0.440,0.203,(1000;219673),0.440
"Frinhani, Carvalho & Soma\Random-1000-1000-24-6",0.000,(1000;215586),0.432,1.054,(1000;215586),0.432,0.229,(1000;215586),0.432,0.197,(1000;215586),0.432
"Frinhani, Carvalho & Soma\Random-1000-1000-24-7",0.000,(1000;217348),0.435,1.101,(1000;217348),0.435,0.239,(1000;217348),0.435,0.230,(1000;217348),0.435
"Frinhani, Carvalho & Soma\Random-1000-1000-24-8",0.000,(1000;219792),0.440,1.153,(1000;219792),0.440,0.252,(1000;219792),0.440,0.211,(1000;219792),0.440
"Frinhani, Carvalho & Soma\Random-1000-1000-24-9",0.000,(1000;217409),0.435,1.209,(1000;217409),0.435,0.218,(1000;217409),0.435,0.213,(1000;217409),0.435
"Frinhani, Carvalho & Soma\Random-1000-1000-28-1",0.000,(1000;270315),0.541,1.355,(1000;270315),0.541,0.235,(1000;270315),0.541,0.229,(1000;270315),0.541
"Frinhani, Carvalho & Soma\Random-1000-1000-28-10",0.000,(1000;269522),0.540,1.367,(1000;269522),0.540,0.237,(1000;269522),0.540,0.257,(1000;269522),0.540
"Frinhani, Carvalho & Soma\Random-1000-1000-28-2",0.000,(1000;269656),0.540,1.360,(1000;269656),0.540,0.259,(1000;269656),0.540,0.207,(1000;269656),0.540
"Frinhani, Carvalho & Soma\Random-1000-1000-28-3",0.000,(1000;277713),0.556,1.226,(1000;277713),0.556,0.259,(1000;277713),0.556,0.209,(1000;277713),0.556
"Frinhani, Carvalho & Soma\Random-1000-1000-28-4",0.000,(1000;269809),0.540,1.212,(1000;269809),0.540,0.236,(1000;269809),0.540,0.217,(1000;269809),0.540
"Frinhani, Carvalho & Soma\Random-1000-1000-28-5",0.000,(1000;274570),0.550,1.384,(1000;274570),0.550,0.243,(1000;274570),0.550,0.273,(1000;274570),0.550
"Frinhani, Carvalho & Soma\Random-1000-1000-28-6",0.000,(1000;274116),0.549,1.356,(1000;274116),0.549,0.227,(1000;274116),0.549,0.205,(1000;274116),0.549
"Frinhani, Carvalho & Soma\Random-1000-1000-28-7",0.000,(1000;273729),0.548,1.377,(1000;273729),0.548,0.224,(1000;273729),0.548,0.247,(1000;273729),0.548
"Frinhani, Carvalho & Soma\Random-1000-1000-28-8",0.000,(1000;271555),0.544,1.410,(1000;271555),0.544,0.246,(1000;271555),0.544,0.238,(1000;271555),0.544
"Frinhani, Carvalho & Soma\Random-1000-1000-28-9",0.000,(1000;269084),0.539,1.252,(1000;269084),0.539,0.230,(1000;269084),0.539,0.270,(1000;269084),0.539
"Frinhani, Carvalho & Soma\Random-1000-1000-30-1",0.000,(1000;293896),0.588,1.265,(1000;293896),0.588,0.226,(1000;293896),0.588,0.211,(1000;293896),0.588
"Frinhani, Carvalho & Soma\Random-1000-1000-30-10",0.000,(1000;297138),0.595,1.285,(1000;297138),0.595,0.229,(1000;297138),0.595,0.211,(1000;297138),0.595
"Frinhani, Carvalho & Soma\Random-1000-1000-30-2",0.000,(1000;297408),0.595,1.322,(1000;297408),0.595,0.242,(1000;297408),0.595,0.223,(1000;297408),0.595
"Frinhani, Carvalho & Soma\Random-1000-1000-30-3",0.000,(1000;293131),0.587,1.254,(1000;293131),0.587,0.225,(1000;293131),0.587,0.204,(1000;293131),0.587
"Frinhani, Carvalho & Soma\Random-1000-1000-30-4",0.000,(1000;293246),0.587,1.290,(1000;293246),0.587,0.226,(1000;293246),0.587,0.214,(1000;293246),0.587
"Frinhani, Carvalho & Soma\Random-1000-1000-30-5",0.000,(1000;299666),0.600,1.314,(1000;299666),0.600,0.232,(1000;299666),0.600,0.215,(1000;299666),0.600
"Frinhani, Carvalho & Soma\Random-1000-1000-30-6",0.000,(1000;295134),0.591,1.287,(1000;295134),0.591,0.247,(1000;295134),0.591,0.210,(1000;295134),0.591
"Frinhani, Carvalho & Soma\Random-1000-1000-30-7",0.000,(1000;291798),0.584,1.291,(1000;291798),0.584,0.239,(1000;291798),0.584,0.212,(1000;291798),0.584
"Frinhani, Carvalho & Soma\Random-1000-1000-30-8",0.000,(1000;292931),0.586,1.362,(1000;292931),0.586,0.292,(1000;292931),0.586,0.248,(1000;292931),0.586
"Frinhani, Carvalho & Soma\Random-1000-1000-30-9",0.000,(1000;299514),0.600,1.462,(1000;299514),0.600,0.395,(1000;299514),0.600,0.228,(1000;299514),0.600
"Frinhani, Carvalho & Soma\Random-1000-1000-34-1",0.000,(1000;339563),0.680,1.596,(1000;339563),0.680,0.252,(1000;339563),0.680,0.205,(1000;339563),0.680
"Frinhani, Carvalho & Soma\Random-1000-1000-34-10",0.000,(1000;342734),0.686,1.757,(1000;342734),0.686,0.310,(1000;342734),0.686,0.211,(1000;342734),0.686
"Frinhani, Carvalho & Soma\Random-1000-1000-34-2",0.000,(1000;342725),0.686,1.408,(1000;342725),0.686,0.292,(1000;342725),0.686,0.225,(1000;342725),0.686
